url,title of page,MPU adid,Instream adid,Banner adid,Overlay adid
https://www.capitalxtra.com/terms-conditions/lil-pump-harvard-dropout-tour/,Lil Pump Competition - Terms and Conditions - Capital XTRA,"<div id=""xtra_default_mpu_medium-down"" class=""dac__mpu""></div>","<div id=""xtra_default_instream"" class=""dac__instream""></div>","<div id=""xtra_default_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_default_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/playlists/best-2017/house-songs/,The Best House Songs Of 2017 - Capital XTRA,"<div id=""xtra_default_mpu_large-up"" class=""dac__mpu""></div>","<div id=""xtra_default_instream"" class=""dac__instream""></div>","<div id=""xtra_default_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_default_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/artists/drake/news/who-is-kiki-in-my-feelings-lyrics/,Who Is 'KeKe' In Drake’s Song ‘In My Feelings?’ - Capital XTRA,"<div id=""xtra_artists_mpu_medium-down"" class=""dac__mpu""></div>","<div id=""xtra_artists_instream"" class=""dac__instream""></div>","<div id=""xtra_artists_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_artists_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/playlists/best-2017/hip-hop-songs/,The Best Hip-Hop Songs Of 2017 - Capital XTRA,"<div id=""xtra_default_mpu_medium-down"" class=""dac__mpu""></div>","<div id=""xtra_default_instream"" class=""dac__instream""></div>","<div id=""xtra_default_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_default_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/radio/shows-presenters/ras-kwame/,Ras Kwame - Shows & Presenters - Radio - Capital XTRA,"<div id=""xtra_radio_mpu_large-up"" class=""dac__mpu""></div>",,"<div id=""xtra_radio_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_radio_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/artists/tyga/news/chris-brown-new-music-2018/,Chris Brown & Tyga Tease New Collaboration & Fans Are Excited - Capital XTRA,"<div id=""xtra_artists_mpu_medium-down"" class=""dac__mpu""></div>","<div id=""xtra_artists_instream"" class=""dac__instream""></div>","<div id=""xtra_artists_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_artists_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/radio/shows-presenters/jay-london/grime-uk-hip-hop-songs-august-2017/,10 Homegrown Grime & UK Hip-Hop Songs To Love In August - Capital XTRA,"<div id=""xtra_radio_mpu_medium-down"" class=""dac__mpu""></div>","<div id=""xtra_radio_instream"" class=""dac__instream""></div>","<div id=""xtra_radio_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_radio_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/radio/shows-presenters/jay-london/grime-uk-hip-hop-songs-september-2017/,10 Homegrown Grime & UK Hip-Hop Songs To Love In September - Capital XTRA,"<div id=""xtra_radio_mpu_medium-down"" class=""dac__mpu""></div>","<div id=""xtra_radio_instream"" class=""dac__instream""></div>","<div id=""xtra_radio_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_radio_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/news/reloaded-live-electric-brixton-event-information/,Capital XTRA's Reloaded Live Is On Sale Now! Join Us For A Night Of The Best... - Capital XTRA,"<div id=""xtra_news_mpu_medium-down"" class=""dac__mpu""></div>","<div id=""xtra_news_instream"" class=""dac__instream""></div>","<div id=""xtra_news_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_news_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/artists/macklemore/,Macklemore - Artists - Capital XTRA,"<div id=""xtra_artists_mpu1"" class=""dac__mpu""></div>",,"<div id=""xtra_artists_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_artists_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/artists/macklemore/lists/facts/,Macklemore: 11 Facts About The 'Thrift Shop' Rapper - Capital XTRA,"<div id=""xtra_artists_mpu1"" class=""dac__mpu""></div>","<div id=""xtra_artists_instream"" class=""dac__instream""></div>","<div id=""xtra_artists_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_artists_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/artists/pharrell-williams/lists/facts/,23 Amazing Facts You Didn't Know About Pharrell Williams - Capital XTRA,"<div id=""xtra_artists_mpu1"" class=""dac__mpu""></div>","<div id=""xtra_artists_instream"" class=""dac__instream""></div>","<div id=""xtra_artists_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_artists_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/artists/drake/news/who-is-kb-in-my-feelings-lyrics-meaning/,Who Is KB In Drake’s Song ‘In My Feelings?’ - Capital XTRA,"<div id=""xtra_artists_mpu_medium-down"" class=""dac__mpu""></div>","<div id=""xtra_artists_instream"" class=""dac__instream""></div>","<div id=""xtra_artists_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_artists_overlay"" class=""dac__overlay""></div>"
